state,date,response
Hubei,1.23.20,Lockdown
Italy,3.9.20,Lockdown
Belgium,3.18.20,Lockdown
France,3.16.20,Lockdown
United Kingdom,3.23.20,Lockdown
Spain,3.14.20,Lockdown
Germany,3.22.20,Lockdown
Netherlands,3.23.20,Lockdown
Austria,3.16.20,Lockdown
Denmark,3.11.20,Lockdown
Ireland,3.24.20,Lockdown
Norway,3.12.20,Lockdown
Estonia,3.24.20,Lockdown
