state,date,response
Hubei,1.23.20,Cuarentena obligatoria
Italy,3.9.20,Cuarentena obligatoria
Belgium,3.17.20,Cuarentena obligatoria
France,3.16.20,Cuarentena obligatoria
UK,3.23.20,Cuarentena obligatoria
Spain,3.14.20,Cuarentena obligatoria
Argentina,3.21.20,Cuarentena obligatoria
Colombia,3.24.20,Cuarentena obligatoria
Venezuela,3.16.20,Cuarentena obligatoria
Peru,3.16.20,Cuarentena obligatoria
