Country.Region,yr,estimates,pop,,citation
Bahamas,2019,Population mid-year estimates (millions),0.3895,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bahrain,2019,Population mid-year estimates (millions),1.6412,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bangladesh,2019,Population mid-year estimates (millions),163.0462,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Barbados,2019,Population mid-year estimates (millions),0.2870,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Belarus,2019,Population mid-year estimates (millions),9.4524,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Belgium,2019,Population mid-year estimates (millions),11.5393,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Belize,2019,Population mid-year estimates (millions),0.3904,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Benin,2019,Population mid-year estimates (millions),11.8012,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bermuda,2019,Population mid-year estimates (millions),0.0625,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bhutan,2019,Population mid-year estimates (millions),0.7631,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bolivia,2019,Population mid-year estimates (millions),11.5131,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
"Bonaire, St. Eustatius & Saba",2019,Population mid-year estimates (millions),0.0260,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bosnia and Herzegovina,2019,Population mid-year estimates (millions),3.3010,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Botswana,2019,Population mid-year estimates (millions),2.3037,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Brazil,2019,Population mid-year estimates (millions),211.0495,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
British Virgin Islands,2019,Population mid-year estimates (millions),0.0300,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Brunei Darussalam,2019,Population mid-year estimates (millions),0.4333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Bulgaria,2019,Population mid-year estimates (millions),7.0001,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Burkina Faso,2019,Population mid-year estimates (millions),20.3214,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Burundi,2019,Population mid-year estimates (millions),11.5306,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cabo Verde,2019,Population mid-year estimates (millions),0.5499,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cambodia,2019,Population mid-year estimates (millions),16.4865,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cameroon,2019,Population mid-year estimates (millions),25.8764,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
