Country.Region,yr,estimates,pop,,citation
Republic of Moldova,2019,Population mid-year estimates (millions),4.0433,Including the Transnistria region.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Romania,2019,Population mid-year estimates (millions),19.3646,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Russian Federation,2019,Population mid-year estimates (millions),145.8723,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Rwanda,2019,Population mid-year estimates (millions),12.6270,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Helena,2019,Population mid-year estimates (millions),0.0061,Including Ascension and Tristan da Cunha.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Kitts and Nevis,2019,Population mid-year estimates (millions),0.0528,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Lucia,2019,Population mid-year estimates (millions),0.1828,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Martin (French part),2019,Population mid-year estimates (millions),0.0380,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Pierre and Miquelon,2019,Population mid-year estimates (millions),0.0058,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saint Vincent & Grenadines,2019,Population mid-year estimates (millions),0.1106,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Samoa,2019,Population mid-year estimates (millions),0.1971,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
San Marino,2019,Population mid-year estimates (millions),0.0339,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sao Tome and Principe,2019,Population mid-year estimates (millions),0.2151,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Saudi Arabia,2019,Population mid-year estimates (millions),34.2685,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Senegal,2019,Population mid-year estimates (millions),16.2964,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Serbia,2019,Population mid-year estimates (millions),8.7722,Including Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Seychelles,2019,Population mid-year estimates (millions),0.0977,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sierra Leone,2019,Population mid-year estimates (millions),7.8132,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Singapore,2019,Population mid-year estimates (millions),5.8043,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sint Maarten (Dutch part),2019,Population mid-year estimates (millions),0.0424,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Slovakia,2019,Population mid-year estimates (millions),5.4570,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Slovenia,2019,Population mid-year estimates (millions),2.0787,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Solomon Islands,2019,Population mid-year estimates (millions),0.6698,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Somalia,2019,Population mid-year estimates (millions),15.4429,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
South Africa,2019,Population mid-year estimates (millions),58.5583,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
South Sudan,2019,Population mid-year estimates (millions),11.0621,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Spain,2019,Population mid-year estimates (millions),46.7368,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sri Lanka,2019,Population mid-year estimates (millions),21.3237,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
State of Palestine,2019,Population mid-year estimates (millions),4.9814,Including East Jerusalem.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sudan,2019,Population mid-year estimates (millions),42.8132,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Suriname,2019,Population mid-year estimates (millions),0.5814,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Sweden,2019,Population mid-year estimates (millions),10.0364,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Switzerland,2019,Population mid-year estimates (millions),8.5914,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Syrian Arab Republic,2019,Population mid-year estimates (millions),17.0701,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Tajikistan,2019,Population mid-year estimates (millions),9.3210,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Thailand,2019,Population mid-year estimates (millions),69.6256,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Timor-Leste,2019,Population mid-year estimates (millions),1.2931,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Togo,2019,Population mid-year estimates (millions),8.0824,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Tokelau,2019,Population mid-year estimates (millions),0.0013,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Tonga,2019,Population mid-year estimates (millions),0.1045,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Trinidad and Tobago,2019,Population mid-year estimates (millions),1.3950,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Tunisia,2019,Population mid-year estimates (millions),11.6947,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Turkey,2019,Population mid-year estimates (millions),83.4296,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Turkmenistan,2019,Population mid-year estimates (millions),5.9421,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Turks and Caicos Islands,2019,Population mid-year estimates (millions),0.0382,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Tuvalu,2019,Population mid-year estimates (millions),0.0116,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Uganda,2019,Population mid-year estimates (millions),44.2696,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Ukraine,2019,Population mid-year estimates (millions),43.9936,Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
United Arab Emirates,2019,Population mid-year estimates (millions),9.7705,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
United Kingdom,2019,Population mid-year estimates (millions),67.5302,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
United Rep. of Tanzania,2019,Population mid-year estimates (millions),58.0055,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
US,2019,Population mid-year estimates (millions),329.0649,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
United States Virgin Islands,2019,Population mid-year estimates (millions),0.1046,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Uruguay,2019,Population mid-year estimates (millions),3.4617,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Uzbekistan,2019,Population mid-year estimates (millions),32.9817,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Vanuatu,2019,Population mid-year estimates (millions),0.2999,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Venezuela,2019,Population mid-year estimates (millions),28.5158,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Viet Nam,2019,Population mid-year estimates (millions),96.4621,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Wallis and Futuna Islands,2019,Population mid-year estimates (millions),0.0114,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Western Sahara,2019,Population mid-year estimates (millions),0.5825,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Yemen,2019,Population mid-year estimates (millions),29.1619,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Zambia,2019,Population mid-year estimates (millions),17.8610,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Zimbabwe,2019,Population mid-year estimates (millions),14.6455,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Hubei,2019,,57.2377,,
